Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
India,2024,Devolved actuating protocol,Unmanned,Davidfort,Communication,0.7,91,Solar Propulsion,High,"Germany, India",248
China,2020,Profound 24hour Internet solution,Unmanned,Pennyside,Navigation,1.52,90,Traditional Rocket,High,"Japan, USA, Russia",263
Russia,2015,Fundamental stable Internet solution,Unmanned,Lake Ronaldside,Communication,1.83,99,Traditional Rocket,High,India,77
Japan,2022,Enterprise-wide asynchronous archive,Unmanned,Nicholsshire,Communication,0.95,93,Reusable Rocket,Low,"UK, China",58
China,2004,Vision-oriented optimizing data-warehouse,Unmanned,Lawrenceshire,Research,0.71,91,Traditional Rocket,Medium,"India, Russia, USA",146
Russia,2017,Proactive 3rdgeneration flexibility,Unmanned,South Tamara,Communication,3.16,96,Traditional Rocket,Medium,"UK, Russia",111
Japan,2022,Cross-platform upward-trending ability,Unmanned,East Christinetown,Weather,1.13,92,Traditional Rocket,Medium,India,17
India,2015,Re-contextualized multimedia functionalities,Unmanned,South Andreamouth,Communication,1.22,93,Traditional Rocket,Very High,Russia,255
Russia,2009,Re-engineered actuating groupware,Unmanned,Lake Stephen,Communication,5.93,100,Traditional Rocket,High,China,135
Russia,2001,Multi-lateral zero administration paradigm,Unmanned,Port Kathleen,Spy,0.06,99,Traditional Rocket,High,"UK, France",57
China,2016,Networked motivating attitude,Unmanned,Clarkchester,Navigation,8.05,97,Traditional Rocket,Low,"France, UK, Germany",258
UK,2019,Polarized systemic structure,Unmanned,New Alishamouth,Research,0.58,98,Traditional Rocket,Medium,Germany,203
France,2009,Multi-channeled asymmetric utilization,Unmanned,Jenniferberg,Weather,3.49,98,Traditional Rocket,Medium,"Germany, UK, India",347
China,2023,Profound zero-defect collaboration,Unmanned,Davidport,Navigation,3.0,96,Solar Propulsion,Low,Germany,42
Japan,2012,Diverse non-volatile instruction set,Unmanned,East Daltonshire,Spy,4.28,95,Traditional Rocket,Medium,India,88
Germany,2023,Fully-configurable empowering knowledgebase,Unmanned,Williamsonchester,Weather,0.82,94,Reusable Rocket,High,,328
India,2012,Cross-group logistical groupware,Unmanned,New Ambermouth,Weather,0.61,100,Traditional Rocket,High,"Japan, China, France",265
China,2013,Front-line fresh-thinking customer loyalty,Unmanned,Jacobchester,Communication,3.4,97,Traditional Rocket,High,"China, Germany, UK",53
Japan,2015,Upgradable modular help-desk,Unmanned,East Joshua,Spy,3.68,100,Traditional Rocket,Medium,"UK, France, Germany",203
Germany,2013,Switchable impactful Graphical User Interface,Unmanned,Grahamfurt,Communication,1.38,93,Traditional Rocket,Medium,"Japan, USA, India",93
Japan,2013,Cloned holistic help-desk,Unmanned,Lake Waynechester,Research,1.06,99,Traditional Rocket,Low,,195
Russia,2000,Innovative tangible policy,Unmanned,South Laura,Navigation,0.5,89,Traditional Rocket,High,"Russia, China, Germany",268
France,2010,Ameliorated well-modulated algorithm,Unmanned,Morganmouth,Weather,2.91,91,Traditional Rocket,Medium,UK,83
France,2023,De-engineered leadingedge Graphic Interface,Unmanned,New Christopher,Spy,1.29,94,Reusable Rocket,High,"USA, Russia",317
Russia,2008,Robust global circuit,Unmanned,Lake Rachael,Communication,4.45,98,Traditional Rocket,Low,"France, Russia",91
India,2006,Down-sized zero tolerance productivity,Unmanned,Matthewmouth,Weather,0.63,92,Traditional Rocket,Low,,232
USA,2024,Integrated scalable policy,Unmanned,Port Angelaview,Weather,3.61,92,Reusable Rocket,High,"China, France",147
China,2006,Versatile zero administration encryption,Unmanned,New Madisonbury,Research,1.57,90,Traditional Rocket,Low,Russia,307
Russia,2023,Object-based incremental workforce,Unmanned,Port Hannah,Spy,1.18,96,Traditional Rocket,High,"Germany, UK",315
Russia,2011,Profit-focused scalable knowledge user,Unmanned,North Jesse,Communication,6.42,100,Traditional Rocket,Medium,"Russia, UK",245
USA,2009,Open-architected didactic website,Unmanned,Lopeztown,Spy,20.45,97,Traditional Rocket,Medium,"Germany, UK, USA",235
UK,2018,Switchable empowering budgetary management,Unmanned,North Julianport,Communication,0.96,88,Reusable Rocket,Medium,India,265
France,2019,Total content-based superstructure,Unmanned,West Tina,Communication,1.3,98,AI Navigation,Low,,332
China,2022,Implemented web-enabled paradigm,Unmanned,West John,Spy,5.7,94,Traditional Rocket,High,"UK, China",7
UK,2021,Multi-lateral exuding migration,Unmanned,Williamsborough,Research,1.13,100,Traditional Rocket,High,"China, Germany, India",271
USA,2012,Quality-focused value-added matrix,Manned,West Mariah,Spy,35.37,97,Traditional Rocket,Low,Russia,352
Russia,2018,Universal mission-critical firmware,Unmanned,Lindatown,Navigation,3.75,98,Traditional Rocket,Medium,"Russia, Germany, Japan",91
China,2004,Organic human-resource challenge,Unmanned,North Yeseniastad,Research,0.93,92,Traditional Rocket,High,"USA, Japan",108
Japan,2005,Monitored zero administration functionalities,Unmanned,Josephport,Weather,1.23,100,Traditional Rocket,High,"Germany, UK",262
Russia,2022,Organized systematic pricing structure,Unmanned,Lake Lori,Weather,0.43,89,Reusable Rocket,High,UK,33
Germany,2024,Up-sized logistical matrix,Unmanned,South Sandraland,Weather,1.05,94,Reusable Rocket,High,,254
Germany,2006,Ameliorated analyzing capacity,Unmanned,East Sarahmouth,Weather,3.31,90,Traditional Rocket,Medium,France,326
Russia,2016,Exclusive regional service-desk,Unmanned,Salasmouth,Spy,14.52,96,Traditional Rocket,High,"Japan, USA, China",48
USA,2004,Grass-roots impactful structure,Unmanned,East Emily,Research,33.84,96,Traditional Rocket,Medium,"USA, India",77
China,2012,Quality-focused demand-driven array,Unmanned,Port Allenmouth,Communication,3.48,96,Traditional Rocket,Low,,151
France,2023,Fully-configurable intermediate orchestration,Unmanned,New Sarahbury,Spy,1.37,93,Reusable Rocket,High,"Germany, India",277
Japan,2010,Multi-channeled zero tolerance success,Unmanned,Mariomouth,Research,8.46,100,Traditional Rocket,Low,Russia,11
India,2021,Inverse intermediate methodology,Unmanned,Wallerport,Spy,1.44,88,Reusable Rocket,High,,234
India,2020,Distributed regional database,Unmanned,Shelleyton,Communication,0.73,90,Solar Propulsion,Medium,France,73
UK,2021,Cloned multi-state middleware,Unmanned,Lake Craigfurt,Weather,0.63,98,Traditional Rocket,Medium,"UK, India",95
Germany,2006,Re-contextualized 24/7 customer loyalty,Unmanned,Edwardborough,Communication,1.84,93,Traditional Rocket,High,Japan,315
UK,2005,Upgradable demand-driven model,Unmanned,Feliciatown,Navigation,0.08,90,Traditional Rocket,High,France,49
India,2021,Quality-focused intangible protocol,Unmanned,Castrobury,Communication,1.81,88,Solar Propulsion,Medium,"France, UK, Russia",37
UK,2015,Expanded holistic firmware,Unmanned,Port Dawn,Research,2.48,98,Traditional Rocket,Medium,"UK, USA",169
Russia,2011,Programmable interactive array,Unmanned,New Kelseychester,Spy,0.7,88,Traditional Rocket,Medium,"France, Russia",237
Russia,2006,Profound logistical ability,Unmanned,Lake Reginald,Weather,0.54,98,Traditional Rocket,High,,342
USA,2024,Horizontal radical circuit,Unmanned,Fowlertown,Research,11.83,99,Reusable Rocket,Low,"France, Germany",113
India,2021,Switchable zero administration secured line,Unmanned,Port Robin,Weather,0.61,92,Traditional Rocket,Low,"USA, France",148
UK,2024,Mandatory full-range initiative,Unmanned,Wileyview,Weather,0.48,91,Reusable Rocket,Medium,"India, China",224
USA,2007,Enhanced zero-defect help-desk,Unmanned,Blakemouth,Communication,16.65,100,Traditional Rocket,High,"USA, China",162
Germany,2014,Re-contextualized bi-directional ability,Unmanned,Strongmouth,Communication,2.96,91,Traditional Rocket,Low,USA,240
India,2017,Profound value-added protocol,Unmanned,South Chaseland,Weather,1.36,98,Traditional Rocket,Medium,"France, India",16
USA,2017,User-centric 6thgeneration leverage,Unmanned,Port Mark,Research,38.76,96,Traditional Rocket,Low,"Germany, UK, Japan",159
Germany,2023,Profit-focused zero administration instruction set,Unmanned,Amystad,Weather,1.28,100,Traditional Rocket,Medium,UK,3
India,2010,Persistent non-volatile definition,Unmanned,Riversfurt,Spy,0.58,88,Traditional Rocket,High,USA,182
India,2003,Team-oriented value-added hierarchy,Unmanned,South Robertview,Navigation,1.09,97,Traditional Rocket,Medium,"France, USA",220
China,2023,Configurable fresh-thinking archive,Unmanned,New Michael,Navigation,3.32,94,Reusable Rocket,Medium,"Japan, Germany, USA",135
USA,2023,Public-key reciprocal moderator,Unmanned,Josephmouth,Spy,6.4,95,Reusable Rocket,High,"USA, India",21
Germany,2023,Decentralized bifurcated hardware,Unmanned,Millerbury,Communication,0.34,98,Reusable Rocket,Medium,"Japan, USA",335
UK,2017,Self-enabling bandwidth-monitored attitude,Unmanned,New Timothyshire,Navigation,1.66,97,Traditional Rocket,Low,"Germany, Japan",117
UK,2014,Cross-group reciprocal model,Unmanned,West James,Communication,2.03,92,Traditional Rocket,High,"Japan, France",156
Russia,2024,Open-source national workforce,Unmanned,Garciafurt,Navigation,0.98,96,Reusable Rocket,High,Russia,340
China,2022,Digitized grid-enabled groupware,Unmanned,Melissaton,Weather,3.12,98,Reusable Rocket,High,"USA, Germany",181
Russia,2020,Multi-layered zero administration orchestration,Unmanned,Douglasland,Weather,0.92,98,Traditional Rocket,High,Russia,91
Germany,2006,Vision-oriented analyzing secured line,Unmanned,Josephton,Research,2.95,97,Traditional Rocket,High,France,327
Japan,2001,Advanced dynamic function,Unmanned,Port Ethanstad,Spy,0.96,98,Traditional Rocket,Low,"India, China",106
Japan,2007,Function-based composite synergy,Unmanned,Marymouth,Weather,2.96,94,Traditional Rocket,Low,"Japan, India",300
India,2024,Fully-configurable value-added utilization,Unmanned,South David,Communication,0.46,93,Traditional Rocket,Low,Germany,365
China,2010,Streamlined next generation benchmark,Unmanned,Mirandashire,Communication,0.24,91,Traditional Rocket,High,"Germany, Russia",180
Russia,2018,Devolved non-volatile superstructure,Unmanned,Williamfurt,Communication,0.5,96,Solar Propulsion,High,"Germany, UK",262
India,2010,Down-sized transitional adapter,Unmanned,Joshuahaven,Communication,2.48,100,Traditional Rocket,Low,"UK, Germany",325
India,2020,Diverse executive benchmark,Unmanned,Chadview,Weather,0.43,97,Traditional Rocket,Medium,,176
France,2001,Function-based methodical policy,Unmanned,Andersonland,Research,2.12,91,Traditional Rocket,Low,Japan,142
China,2016,Multi-layered actuating policy,Unmanned,Murphyview,Communication,1.28,98,Traditional Rocket,Low,USA,355
Japan,2020,Front-line disintermediate framework,Unmanned,New Stephanie,Communication,1.34,99,Reusable Rocket,Low,"UK, Japan",202
China,2022,Cloned analyzing portal,Unmanned,Joelhaven,Communication,0.87,95,AI Navigation,High,"Russia, UK",17
Germany,2011,Streamlined static pricing structure,Unmanned,East Aprilville,Communication,3.4,92,Traditional Rocket,Low,"France, UK, Germany",354
USA,2014,Realigned tangible alliance,Unmanned,Taylorberg,Weather,7.46,97,Traditional Rocket,Medium,"Germany, USA, UK",76
UK,2010,Secured interactive superstructure,Unmanned,Port Lawrenceburgh,Communication,0.55,91,Traditional Rocket,High,China,350
UK,2024,Advanced secondary core,Unmanned,North Paula,Navigation,0.41,94,Reusable Rocket,Medium,Germany,174
France,2008,Optional zero administration database,Unmanned,East Michaelachester,Spy,3.66,98,Traditional Rocket,Low,,260
France,2015,Diverse 4thgeneration knowledge user,Unmanned,Hooperstad,Navigation,6.41,94,Traditional Rocket,Medium,UK,146
Japan,2000,Organized modular definition,Unmanned,South Derrick,Weather,0.21,95,Traditional Rocket,Low,UK,197
Japan,2019,Balanced context-sensitive conglomeration,Unmanned,Cobbhaven,Navigation,1.54,94,Solar Propulsion,High,"UK, Russia, Germany",140
France,2023,Organic secondary system engine,Unmanned,Thompsonfurt,Spy,1.51,98,Traditional Rocket,Medium,"France, USA, UK",348
USA,2011,Persistent discrete website,Unmanned,New Gregory,Communication,9.82,95,Traditional Rocket,Medium,"France, China",190
Japan,2011,Cross-platform 4thgeneration paradigm,Unmanned,Richardland,Spy,5.45,99,Traditional Rocket,Low,"Russia, Germany, UK",34
UK,2024,Devolved bifurcated secured line,Unmanned,Valeriemouth,Weather,0.42,93,Reusable Rocket,Low,Russia,87
France,2021,Versatile contextually-based productivity,Unmanned,New Loriberg,Weather,1.63,93,Reusable Rocket,Medium,"France, USA",355
UK,2001,Ameliorated optimal hierarchy,Unmanned,Benjaminchester,Research,0.08,94,Traditional Rocket,High,"Germany, Japan",195
China,2018,Profit-focused neutral database,Unmanned,Port Jamesberg,Spy,4.91,92,Traditional Rocket,Medium,"UK, Germany",158
India,2008,Decentralized 6thgeneration alliance,Unmanned,Connorland,Communication,0.17,88,Traditional Rocket,Medium,"Japan, Russia",54
USA,2023,Expanded actuating standardization,Unmanned,Randyshire,Weather,12.29,99,Traditional Rocket,High,USA,331
Germany,2017,Universal bifurcated conglomeration,Unmanned,New Michaelafurt,Weather,2.5,90,Traditional Rocket,High,"Russia, Germany, India",83
France,2018,Stand-alone system-worthy installation,Unmanned,Maciasborough,Spy,1.13,98,Traditional Rocket,Medium,Germany,139
France,2020,Configurable systemic firmware,Unmanned,North Amyville,Communication,3.11,91,Reusable Rocket,Medium,"China, France, USA",85
France,2010,Grass-roots scalable access,Unmanned,Heathershire,Communication,4.15,97,Traditional Rocket,Low,"India, France",91
Japan,2015,Synchronized intermediate firmware,Unmanned,Briannaside,Research,2.34,98,Traditional Rocket,Low,Russia,73
Japan,2016,Managed attitude-oriented extranet,Unmanned,Deborahmouth,Weather,1.74,99,Traditional Rocket,Medium,Russia,14
China,2013,Front-line fresh-thinking task-force,Unmanned,East Annette,Communication,2.47,98,Traditional Rocket,High,,254
Russia,2023,Triple-buffered attitude-oriented superstructure,Unmanned,Larabury,Weather,1.78,93,Reusable Rocket,High,China,356
Japan,2020,Horizontal reciprocal matrix,Unmanned,Moniquestad,Weather,0.08,96,Traditional Rocket,Low,China,137
India,2013,User-friendly needs-based throughput,Unmanned,East Matthew,Communication,2.58,99,Traditional Rocket,Low,"India, UK, Russia",360
UK,2001,Intuitive dedicated synergy,Unmanned,Victorialand,Research,0.13,100,Traditional Rocket,Medium,,49
China,2020,Compatible object-oriented Internet solution,Unmanned,Smithville,Communication,5.94,93,Traditional Rocket,High,"China, Russia",125
Japan,2009,Exclusive fresh-thinking capacity,Unmanned,Jeffreyfort,Weather,0.31,98,Traditional Rocket,Medium,"USA, India",115
France,2023,Innovative solution-oriented capability,Unmanned,Smithberg,Spy,0.4,96,Reusable Rocket,High,Germany,339
UK,2002,Reduced regional emulation,Unmanned,Pierceborough,Navigation,0.09,99,Traditional Rocket,High,"Japan, Germany",230
Japan,2011,Enhanced homogeneous workforce,Unmanned,West Robert,Spy,0.84,97,Traditional Rocket,Medium,"France, China",197
India,2022,Organized bi-directional budgetary management,Unmanned,Patrickview,Weather,1.6,91,Solar Propulsion,High,Germany,281
Germany,2014,Ameliorated 3rdgeneration time-frame,Unmanned,Fisherview,Weather,1.68,99,Traditional Rocket,High,"Germany, USA",128
China,2018,Function-based systemic website,Unmanned,Lake Brian,Spy,3.47,99,Traditional Rocket,Low,"UK, Germany",6
China,2018,User-centric multi-state customer loyalty,Unmanned,Port Mandyberg,Communication,3.76,95,Traditional Rocket,High,India,259
Russia,2010,Polarized impactful core,Unmanned,Josephhaven,Weather,7.06,100,Traditional Rocket,Medium,Russia,148
Russia,2021,Re-engineered systematic intranet,Unmanned,Carolton,Navigation,1.99,97,Reusable Rocket,High,"China, UK",45
Japan,2006,Distributed leadingedge matrices,Unmanned,Markport,Research,0.78,93,Traditional Rocket,High,"Japan, UK",251
France,2019,Sharable homogeneous implementation,Unmanned,Michelleside,Weather,1.04,100,Reusable Rocket,Low,"China, Germany",316
Japan,2014,Enterprise-wide interactive functionalities,Unmanned,Brianahaven,Communication,1.33,98,Traditional Rocket,Medium,,33
India,2005,Universal interactive ability,Unmanned,Randolphshire,Communication,1.2,91,Traditional Rocket,Medium,"France, China",156
Japan,2016,Virtual dynamic intranet,Unmanned,South Donaldborough,Weather,0.7,99,Traditional Rocket,Medium,"UK, Japan",221
China,2023,Managed didactic firmware,Unmanned,South Sarah,Weather,2.53,94,Reusable Rocket,High,,304
USA,2022,Inverse zero tolerance toolset,Unmanned,Wendyside,Research,17.57,94,Traditional Rocket,Low,India,198
China,2009,Vision-oriented solution-oriented methodology,Unmanned,East Bridget,Spy,1.05,96,Traditional Rocket,High,"India, Germany",293
UK,2023,Multi-layered neutral hub,Unmanned,South Donald,Research,0.14,98,Solar Propulsion,Low,India,45
China,2022,Secured real-time info-mediaries,Unmanned,Ericchester,Spy,5.08,91,Traditional Rocket,Low,India,301
USA,2014,Distributed transitional framework,Unmanned,Port David,Communication,30.53,95,Traditional Rocket,High,Germany,328
Russia,2002,Enterprise-wide composite success,Unmanned,Clementsfurt,Navigation,1.49,94,Traditional Rocket,High,France,55
Russia,2022,Customizable exuding Internet solution,Unmanned,South Karen,Research,0.67,91,Traditional Rocket,High,"USA, France",158
